Report Date:,08/11/2025 19:45:39
Report User Name:,Bryce
Report Computer Name:,DESKTOP-9S7IEBK
Application:,WinSitu.exe
Application Version:,5.7.8.0


Log File Properties
File Name,Arizona.Creek.Baro_2025-08-11_19-45-18-131.wsl
Create Date,08/11/2025 19:45:15

Device Properties
Device,Rugged BaroTROLL
Site,Default Site
Device Name, 
Serial Number,1126822
Firmware Version,1.05
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,0

Log Configuration
,Log Name,Arizona.Creek.Baro
,Created By,Bryce
,Computer Name,DESKTOP-9S7IEBK
,Application,WinSitu.exe
,Application Version,5.7.8.0
,Create Date,08/20/2024 07:28:44 Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,08/20/2024 08:00:00 Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings



Log Notes:
Date and Time,Note
08/20/2024 07:28:54,Used Battery: 0% Used Memory: 3%   User Name: Bryce
08/11/2025 19:40:36,Log Download - Used Battery: 7% Used Memory: 28%   User Name: Bryce


Log Data:
Record Count,34223

Sensors,1

 ,1,1126822,Baro-Pressure/Temp

Time Zone: Mountain Daylight Time

,,Sensor: Baro Pres                       ,Sensor: Baro Pres                       ,
08/20/2024 12:45:00,   17100.001,                                   0.798,                                  31.465,
08/20/2024 13:00:00,   18000.001,                                   0.798,                                  31.893,
08/20/2024 13:15:00,   18900.001,                                   0.798,                                  31.988,
08/20/2024 13:30:00,   19800.001,                                   0.798,                                  29.986,
08/20/2024 13:45:00,   20700.001,                                   0.798,                                  29.123,
08/20/2024 14:00:00,   21600.001,                                   0.797,                                  29.315,
08/20/2024 14:15:00,   22500.001,                                   0.797,                                  29.075,
08/20/2024 14:30:00,   23400.001,                                   0.797,                                  28.209,
08/20/2024 14:45:00,   24300.001,                                   0.797,                                  31.751,
08/20/2024 15:00:00,   25200.001,                                   0.797,                                  34.913,
08/20/2024 15:15:00,   26100.001,                                   0.797,                                  35.942,
08/20/2024 15:30:00,   27000.001,                                   0.797,                                  32.225,
08/20/2024 15:45:00,   27900.001,                                   0.797,                                  29.747,
08/20/2024 16:00:00,   28800.001,                                   0.796,                                  28.450,
08/20/2024 16:15:00,   29700.001,                                   0.796,                                  27.871,
08/20/2024 16:30:00,   30600.001,                                   0.796,                                  27.339,
08/20/2024 16:45:00,   31500.001,                                   0.796,                                  26.807,
08/20/2024 17:00:00,   32400.001,                                   0.796,                                  25.980,
08/20/2024 17:15:00,   33300.001,                                   0.796,                                  25.396,
08/20/2024 17:30:00,   34200.001,                                   0.796,                                  25.102,
08/20/2024 17:45:00,   35100.001,                                   0.796,                                  24.417,
08/20/2024 18:00:00,   36000.001,                                   0.796,                                  24.319,
08/20/2024 18:15:00,   36900.001,                                   0.796,                                  23.976,
08/20/2024 18:30:00,   37800.001,                                   0.795,                                  23.287,
08/20/2024 18:45:00,   38700.001,                                   0.796,                                  22.942,
08/20/2024 19:00:00,   39600.001,                                   0.796,                                  22.152,
08/20/2024 19:15:00,   40500.001,                                   0.796,                                  21.110,
08/20/2024 19:30:00,   41400.001,                                   0.796,                                  20.163,
08/20/2024 19:45:00,   42300.001,                                   0.795,                                  19.613,
08/20/2024 20:00:00,   43200.001,                                   0.796,                                  18.710,
08/20/2024 20:15:00,   44100.001,                                   0.796,                                  18.005,
08/20/2024 20:30:00,   45000.001,                                   0.796,                                  17.248,
08/20/2024 20:45:00,   45900.001,                                   0.796,                                  16.589,
08/20/2024 21:00:00,   46800.001,                                   0.796,                                  16.030,
08/20/2024 21:15:00,   47700.001,                                   0.796,                                  15.470,
08/20/2024 21:30:00,   48600.001,                                   0.796,                                  15.062,
08/20/2024 21:45:00,   49500.001,                                   0.796,                                  14.704,
08/20/2024 22:00:00,   50400.001,                                   0.796,                                  14.294,
08/20/2024 22:15:00,   51300.001,                                   0.796,                                  13.832,
08/20/2024 22:30:00,   52200.001,                                   0.796,                                  13.575,
08/20/2024 22:45:00,   53100.001,                                   0.796,                                  13.318,
08/20/2024 23:00:00,   54000.001,                                   0.796,                                  12.905,
08/20/2024 23:15:00,   54900.001,                                   0.796,                                  12.389,
08/20/2024 23:30:00,   55800.001,                                   0.796,                                  11.819,
08/20/2024 23:45:00,   56700.001,                                   0.796,                                  11.404,
08/21/2024 00:00:00,   57600.001,                                   0.796,                                  11.092,
08/21/2024 00:15:00,   58500.001,                                   0.796,                                  10.624,
08/21/2024 00:30:00,   59400.001,                                   0.796,                                  10.311,
08/21/2024 00:45:00,   60300.001,                                   0.796,                                   9.997,
08/21/2024 01:00:00,   61200.001,                                   0.796,                                   9.736,
08/21/2024 01:15:00,   62100.001,                                   0.796,                                   9.526,
08/21/2024 01:30:00,   63000.001,                                   0.796,                                   9.054,
08/21/2024 01:45:00,   63900.001,                                   0.796,                                   8.634,
08/21/2024 02:00:00,   64800.001,                                   0.796,                                   8.423,
08/21/2024 02:15:00,   65700.001,                                   0.796,                                   8.107,
08/21/2024 02:30:00,   66600.001,                                   0.795,                                   7.843,
08/21/2024 02:45:00,   67500.001,                                   0.796,                                   7.632,
08/21/2024 03:00:00,   68400.001,                                   0.795,                                   7.420,
08/21/2024 03:15:00,   69300.001,                                   0.795,                                   7.261,
08/21/2024 03:30:00,   70200.001,                                   0.795,                                   7.050,
08/21/2024 03:45:00,   71100.001,                                   0.795,                                   6.837,
08/21/2024 04:00:00,   72000.001,                                   0.795,                                   6.678,
08/21/2024 04:15:00,   72900.001,                                   0.795,                                   6.519,
08/21/2024 04:30:00,   73800.001,                                   0.795,                                   6.466,
08/21/2024 04:45:00,   74700.001,                                   0.795,                                   6.413,
08/21/2024 05:00:00,   75600.001,                                   0.795,                                   6.413,
08/21/2024 05:15:00,   76500.001,                                   0.795,                                   6.306,
08/21/2024 05:30:00,   77400.001,                                   0.795,                                   6.147,
08/21/2024 05:45:00,   78300.001,                                   0.795,                                   6.147,
08/21/2024 06:00:00,   79200.001,                                   0.795,                                   6.040,
08/21/2024 06:15:00,   80100.001,                                   0.795,                                   5.987,
08/21/2024 06:30:00,   81000.001,                                   0.795,                                   5.881,
08/21/2024 06:45:00,   81900.001,                                   0.795,                                   5.721,
08/21/2024 07:00:00,   82800.001,                                   0.795,                                   5.614,
08/21/2024 07:15:00,   83700.001,                                   0.795,                                   5.561,
08/21/2024 07:30:00,   84600.001,                                   0.795,                                   5.561,
08/21/2024 07:45:00,   85500.001,                                   0.795,                                   5.614,
08/21/2024 08:00:00,   86400.001,                                   0.795,                                   5.827,
08/21/2024 08:15:00,   87300.001,                                   0.795,                                   6.094,
08/21/2024 08:30:00,   88200.001,                                   0.796,                                   6.625,
08/21/2024 08:45:00,   89100.001,                                   0.795,                                   7.367,
08/21/2024 09:00:00,   90000.001,                                   0.795,                                   8.318,
08/21/2024 09:15:00,   90900.001,                                   0.796,                                  11.248,
08/21/2024 09:30:00,   91800.001,                                   0.795,                                  14.140,
08/21/2024 09:45:00,   92700.001,                                   0.796,                                  15.572,
08/21/2024 10:00:00,   93600.001,                                   0.796,                                  16.640,
08/21/2024 10:15:00,   94500.001,                                   0.795,                                  16.437,
08/21/2024 10:30:00,   95400.001,                                   0.795,                                  16.132,
08/21/2024 10:45:00,   96300.001,                                   0.795,                                  16.234,
08/21/2024 11:00:00,   97200.001,                                   0.795,                                  16.538,
08/21/2024 11:15:00,   98100.001,                                   0.795,                                  17.298,
08/21/2024 11:30:00,   99000.001,                                   0.795,                                  18.911,
08/21/2024 11:45:00,   99900.001,                                   0.796,                                  22.844,
08/21/2024 12:00:00,  100800.001,                                   0.796,                                  25.834,
08/21/2024 12:15:00,  101700.001,                                   0.796,                                  28.546,
08/21/2024 12:30:00,  102600.001,                                   0.795,                                  30.034,
08/21/2024 12:45:00,  103500.001,                                   0.796,                                  30.989,
08/21/2024 13:00:00,  104400.001,                                   0.795,                                  32.273,
08/21/2024 13:15:00,  105300.001,                                   0.795,                                  33.738,
08/21/2024 13:30:00,  106200.001,                                   0.795,                                  35.288,
08/21/2024 13:45:00,  107100.001,                                   0.795,                                  36.036,
08/21/2024 14:00:00,  108000.001,                                   0.795,                                  37.200,
08/21/2024 14:15:00,  108900.001,                                   0.795,                                  37.432,
08/21/2024 14:30:00,  109800.001,                                   0.795,                                  37.711,
08/21/2024 14:45:00,  110700.001,                                   0.795,                                  38.313,
08/21/2024 15:00:00,  111600.001,                                   0.795,                                  38.683,
08/21/2024 15:15:00,  112500.001,                                   0.795,                                  38.359,
08/21/2024 15:30:00,  113400.001,                                   0.795,                                  33.030,
08/21/2024 15:45:00,  114300.001,                                   0.795,                                  29.411,
08/21/2024 16:00:00,  115200.001,                                   0.795,                                  27.485,
08/21/2024 16:15:00,  116100.001,                                   0.795,                                  26.661,
08/21/2024 16:30:00,  117000.001,                                   0.795,                                  25.347,
08/21/2024 16:45:00,  117900.001,                                   0.795,                                  24.662,
08/21/2024 17:00:00,  118800.001,                                   0.795,                                  24.025,
08/21/2024 17:15:00,  119700.001,                                   0.795,                                  23.287,
08/21/2024 17:30:00,  120600.001,                                   0.795,                                  22.844,
08/21/2024 17:45:00,  121500.001,                                   0.795,                                  22.547,
08/21/2024 18:00:00,  122400.001,                                   0.795,                                  22.251,
08/21/2024 18:15:00,  123300.001,                                   0.795,                                  21.755,
08/21/2024 18:30:00,  124200.001,                                   0.794,                                  21.309,
08/21/2024 18:45:00,  125100.001,                                   0.795,                                  20.413,
08/21/2024 19:00:00,  126000.001,                                   0.795,                                  19.813,
08/21/2024 19:15:00,  126900.001,                                   0.795,                                  19.212,
08/21/2024 19:30:00,  127800.001,                                   0.795,                                  18.610,
08/21/2024 19:45:00,  128700.001,                                   0.795,                                  18.005,
08/21/2024 20:00:00,  129600.001,                                   0.795,                                  17.349,
08/21/2024 20:15:00,  130500.001,                                   0.795,                                  16.589,
08/21/2024 20:30:00,  131400.001,                                   0.795,                                  15.674,
08/21/2024 20:45:00,  132300.001,                                   0.795,                                  15.011,
08/21/2024 21:00:00,  133200.001,                                   0.795,                                  14.294,
08/21/2024 21:15:00,  134100.001,                                   0.795,                                  13.575,
08/21/2024 21:30:00,  135000.001,                                   0.795,                                  13.009,
08/21/2024 21:45:00,  135900.001,                                   0.795,                                  12.647,
08/21/2024 22:00:00,  136800.001,                                   0.795,                                  12.182,
08/21/2024 22:15:00,  137700.001,                                   0.795,                                  11.716,
08/21/2024 22:30:00,  138600.001,                                   0.795,                                  11.248,
08/21/2024 22:45:00,  139500.001,                                   0.796,                                  10.780,
08/21/2024 23:00:00,  140400.001,                                   0.795,                                  10.571,
08/21/2024 23:15:00,  141300.001,                                   0.796,                                  10.154,
08/21/2024 23:30:00,  142200.001,                                   0.796,                                   9.840,
08/21/2024 23:45:00,  143100.001,                                   0.796,                                   9.474,
08/22/2024 00:00:00,  144000.001,                                   0.796,                                   9.054,
08/22/2024 00:15:00,  144900.001,                                   0.795,                                   8.739,
08/22/2024 00:30:00,  145800.001,                                   0.796,                                   8.370,
08/22/2024 00:45:00,  146700.001,                                   0.795,                                   8.001,
08/22/2024 01:00:00,  147600.001,                                   0.795,                                   7.685,
08/22/2024 01:15:00,  148500.001,                                   0.796,                                   7.420,
08/22/2024 01:30:00,  149400.001,                                   0.796,                                   7.208,
08/22/2024 01:45:00,  150300.001,                                   0.796,                                   6.837,
08/22/2024 02:00:00,  151200.001,                                   0.796,                                   6.466,
08/22/2024 02:15:00,  152100.001,                                   0.796,                                   6.147,
08/22/2024 02:30:00,  153000.001,                                   0.796,                                   5.934,
08/22/2024 02:45:00,  153900.001,                                   0.796,                                   5.667,
08/22/2024 03:00:00,  154800.001,                                   0.796,                                   5.401,
08/22/2024 03:15:00,  155700.001,                                   0.796,                                   5.240,
08/22/2024 03:30:00,  156600.001,                                   0.796,                                   5.080,
08/22/2024 03:45:00,  157500.001,                                   0.796,                                   4.973,
08/22/2024 04:00:00,  158400.001,                                   0.796,                                   4.652,
08/22/2024 04:15:00,  159300.001,                                   0.796,                                   4.437,
08/22/2024 04:30:00,  160200.001,                                   0.796,                                   4.223,
08/22/2024 04:45:00,  161100.001,                                   0.796,                                   4.008,
08/22/2024 05:00:00,  162000.001,                                   0.796,                                   3.793,
08/22/2024 05:15:00,  162900.001,                                   0.796,                                   3.631,
08/22/2024 05:30:00,  163800.001,                                   0.796,                                   3.577,
08/22/2024 05:45:00,  164700.001,                                   0.797,                                   3.524,
08/22/2024 06:00:00,  165600.001,                                   0.797,                                   3.308,
08/22/2024 06:15:00,  166500.001,                                   0.797,                                   3.146,
08/22/2024 06:30:00,  167400.001,                                   0.797,                                   2.984,
08/22/2024 06:45:00,  168300.001,                                   0.797,                                   2.822,
08/22/2024 07:00:00,  169200.001,                                   0.797,                                   2.714,
08/22/2024 07:15:00,  170100.001,                                   0.797,                                   2.714,
08/22/2024 07:30:00,  171000.001,                                   0.797,                                   2.714,
08/22/2024 07:45:00,  171900.001,                                   0.797,                                   2.822,
08/22/2024 08:00:00,  172800.001,                                   0.797,                                   3.038,
08/22/2024 08:15:00,  173700.001,                                   0.797,                                   3.416,
08/22/2024 08:30:00,  174600.001,                                   0.797,                                   3.954,
08/22/2024 08:45:00,  175500.001,                                   0.797,                                   4.759,
08/22/2024 09:00:00,  176400.001,                                   0.797,                                   5.881,
08/22/2024 09:15:00,  177300.001,                                   0.797,                                   8.791,
08/22/2024 09:30:00,  178200.001,                                   0.796,                                  10.988,
08/22/2024 09:45:00,  179100.001,                                   0.796,                                  12.182,
08/22/2024 10:00:00,  180000.001,                                   0.796,                                  13.266,
08/22/2024 10:15:00,  180900.001,                                   0.796,                                  13.524,
08/22/2024 10:30:00,  181800.001,                                   0.796,                                  13.884,
08/22/2024 10:45:00,  182700.001,                                   0.796,                                  14.345,
08/22/2024 11:00:00,  183600.001,                                   0.796,                                  15.062,
08/22/2024 11:15:00,  184500.001,                                   0.796,                                  15.725,
08/22/2024 11:30:00,  185400.001,                                   0.796,                                  17.248,
08/22/2024 11:45:00,  186300.001,                                   0.796,                                  21.060,
08/22/2024 12:00:00,  187200.001,                                   0.796,                                  23.878,
08/22/2024 12:15:00,  188100.001,                                   0.796,                                  26.126,
08/22/2024 12:30:00,  189000.001,                                   0.796,                                  28.016,
08/22/2024 12:45:00,  189900.001,                                   0.796,                                  29.171,
08/22/2024 13:00:00,  190800.001,                                   0.796,                                  30.226,
08/22/2024 13:15:00,  191700.001,                                   0.795,                                  31.560,
08/22/2024 13:30:00,  192600.001,                                   0.796,                                  32.557,
08/22/2024 13:45:00,  193500.001,                                   0.796,                                  33.077,
08/22/2024 14:00:00,  194400.001,                                   0.795,                                  33.879,
08/22/2024 14:15:00,  195300.001,                                   0.796,                                  34.255,
08/22/2024 14:30:00,  196200.001,                                   0.795,                                  33.738,
08/22/2024 14:45:00,  197100.001,                                   0.795,                                  33.973,
08/22/2024 15:00:00,  198000.001,                                   0.795,                                  34.302,
08/22/2024 15:15:00,  198900.001,                                   0.795,                                  33.549,
08/22/2024 15:30:00,  199800.001,                                   0.794,                                  29.651,
08/22/2024 15:45:00,  200700.001,                                   0.794,                                  27.388,
08/22/2024 16:00:00,  201600.001,                                   0.794,                                  26.224,
08/22/2024 16:15:00,  202500.001,                                   0.794,                                  26.029,
08/22/2024 16:30:00,  203400.001,                                   0.793,                                  25.151,
08/22/2024 16:45:00,  204300.001,                                   0.793,                                  24.466,
08/22/2024 17:00:00,  205200.001,                                   0.793,                                  23.583,
08/22/2024 17:15:00,  206100.001,                                   0.793,                                  22.992,
08/22/2024 17:30:00,  207000.001,                                   0.793,                                  22.844,
08/22/2024 17:45:00,  207900.001,                                   0.793,                                  22.152,
08/22/2024 18:00:00,  208800.001,                                   0.793,                                  21.358,
08/22/2024 18:15:00,  209700.001,                                   0.793,                                  20.861,
08/22/2024 18:30:00,  210600.001,                                   0.792,                                  20.911,
08/22/2024 18:45:00,  211500.001,                                   0.793,                                  20.911,
08/22/2024 19:00:00,  212400.001,                                   0.792,                                  20.462,
08/22/2024 19:15:00,  213300.001,                                   0.792,                                  19.813,
08/22/2024 19:30:00,  214200.001,                                   0.792,                                  19.313,
08/22/2024 19:45:00,  215100.001,                                   0.792,                                  18.710,
08/22/2024 20:00:00,  216000.001,                                   0.792,                                  18.459,
08/22/2024 20:15:00,  216900.001,                                   0.793,                                  17.905,
08/22/2024 20:30:00,  217800.001,                                   0.793,                                  17.450,
08/22/2024 20:45:00,  218700.001,                                   0.793,                                  16.944,
08/22/2024 21:00:00,  219600.001,                                   0.793,                                  16.437,
08/22/2024 21:15:00,  220500.001,                                   0.793,                                  15.725,
08/22/2024 21:30:00,  221400.001,                                   0.793,                                  15.164,
08/22/2024 21:45:00,  222300.001,                                   0.793,                                  14.653,
08/22/2024 22:00:00,  223200.001,                                   0.793,                                  14.243,
08/22/2024 22:15:00,  224100.001,                                   0.793,                                  13.884,
08/22/2024 22:30:00,  225000.001,                                   0.793,                                  13.524,
08/22/2024 22:45:00,  225900.001,                                   0.793,                                  13.112,
08/22/2024 23:00:00,  226800.001,                                   0.793,                                  12.802,
08/22/2024 23:15:00,  227700.001,                                   0.793,                                  12.441,
08/22/2024 23:30:00,  228600.001,                                   0.793,                                  12.027,
08/22/2024 23:45:00,  229500.001,                                   0.793,                                  11.664,
08/23/2024 00:00:00,  230400.001,                                   0.793,                                  11.196,
08/23/2024 00:15:00,  231300.001,                                   0.793,                                  10.884,
08/23/2024 00:30:00,  232200.001,                                   0.793,                                  10.571,
08/23/2024 00:45:00,  233100.001,                                   0.793,                                  10.415,
08/23/2024 01:00:00,  234000.001,                                   0.793,                                  10.311,
08/23/2024 01:15:00,  234900.001,                                   0.793,                                  10.206,
08/23/2024 01:30:00,  235800.001,                                   0.793,                                  10.206,
08/23/2024 01:45:00,  236700.001,                                   0.793,                                  10.206,
08/23/2024 02:00:00,  237600.001,                                   0.794,                                  10.154,
08/23/2024 02:15:00,  238500.001,                                   0.794,                                   9.997,
08/23/2024 02:30:00,  239400.001,                                   0.794,                                   9.788,
08/23/2024 02:45:00,  240300.001,                                   0.794,                                   9.893,
08/23/2024 03:00:00,  241200.001,                                   0.794,                                  10.311,
08/23/2024 03:15:00,  242100.001,                                   0.794,                                  11.040,
08/23/2024 03:30:00,  243000.001,                                   0.794,                                  11.352,
08/23/2024 03:45:00,  243900.001,                                   0.794,                                  11.767,
08/23/2024 04:00:00,  244800.001,                                   0.794,                                  11.819,
08/23/2024 04:15:00,  245700.001,                                   0.793,                                  11.456,
08/23/2024 04:30:00,  246600.001,                                   0.793,                                  10.936,
08/23/2024 04:45:00,  247500.001,                                   0.793,                                  10.467,
08/23/2024 05:00:00,  248400.001,                                   0.793,                                  10.049,
08/23/2024 05:15:00,  249300.001,                                   0.793,                                   9.631,
08/23/2024 05:30:00,  250200.001,                                   0.793,                                   9.264,
08/23/2024 05:45:00,  251100.001,                                   0.793,                                   9.001,
08/23/2024 06:00:00,  252000.001,                                   0.793,                                   8.791,
08/23/2024 06:15:00,  252900.001,                                   0.793,                                   8.634,
08/23/2024 06:30:00,  253800.001,                                   0.793,                                   8.686,
08/23/2024 06:45:00,  254700.001,                                   0.793,                                   9.001,
08/23/2024 07:00:00,  255600.001,                                   0.794,                                   9.421,
08/23/2024 07:15:00,  256500.001,                                   0.793,                                   9.893,
08/23/2024 07:30:00,  257400.001,                                   0.793,                                  10.154,
08/23/2024 07:45:00,  258300.001,                                   0.793,                                  10.415,
08/23/2024 08:00:00,  259200.001,                                   0.793,                                  10.728,
08/23/2024 08:15:00,  260100.001,                                   0.793,                                  10.988,
08/23/2024 08:30:00,  261000.001,                                   0.794,                                  11.144,
08/23/2024 08:45:00,  261900.001,                                   0.793,                                  11.456,
08/23/2024 09:00:00,  262800.001,                                   0.794,                                  12.130,
08/23/2024 09:15:00,  263700.001,                                   0.794,                                  14.499,
08/23/2024 09:30:00,  264600.001,                                   0.793,                                  16.437,
08/23/2024 09:45:00,  265500.001,                                   0.793,                                  16.944,
08/23/2024 10:00:00,  266400.001,                                   0.793,                                  17.197,
08/23/2024 10:15:00,  267300.001,                                   0.793,                                  17.248,
08/23/2024 10:30:00,  268200.001,                                   0.793,                                  17.400,
08/23/2024 10:45:00,  269100.001,                                   0.793,                                  17.804,
08/23/2024 11:00:00,  270000.001,                                   0.793,                                  18.257,
08/23/2024 11:15:00,  270900.001,                                   0.793,                                  18.509,
08/23/2024 11:30:00,  271800.001,                                   0.793,                                  19.963,
08/23/2024 11:45:00,  272700.001,                                   0.793,                                  23.730,
08/23/2024 12:00:00,  273600.001,                                   0.793,                                  26.515,
08/23/2024 12:15:00,  274500.001,                                   0.793,                                  28.113,
08/23/2024 12:30:00,  275400.001,                                   0.792,                                  29.411,
08/23/2024 12:45:00,  276300.001,                                   0.792,                                  30.226,
08/23/2024 13:00:00,  277200.001,                                   0.791,                                  30.799,
08/23/2024 13:15:00,  278100.001,                                   0.791,                                  30.464,
08/23/2024 13:30:00,  279000.001,                                   0.791,                                  28.161,
08/23/2024 13:45:00,  279900.001,                                   0.791,                                  29.171,
08/23/2024 14:00:00,  280800.001,                                   0.791,                                  27.581,
08/23/2024 14:15:00,  281700.001,                                   0.790,                                  25.200,
08/23/2024 14:30:00,  282600.001,                                   0.791,                                  23.435,
08/23/2024 14:45:00,  283500.001,                                   0.790,                                  20.662,
08/23/2024 15:00:00,  284400.001,                                   0.792,                                  18.157,
08/23/2024 15:15:00,  285300.001,                                   0.791,                                  16.234,
08/23/2024 15:30:00,  286200.001,                                   0.792,                                  15.929,
08/23/2024 15:45:00,  287100.001,                                   0.791,                                  16.285,
08/23/2024 16:00:00,  288000.001,                                   0.791,                                  17.248,
08/23/2024 16:15:00,  288900.001,                                   0.790,                                  18.459,
08/23/2024 16:30:00,  289800.001,                                   0.791,                                  19.012,
08/23/2024 16:45:00,  290700.001,                                   0.790,                                  19.613,
08/23/2024 17:00:00,  291600.001,                                   0.790,                                  19.463,
08/23/2024 17:15:00,  292500.001,                                   0.791,                                  18.760,
08/23/2024 17:30:00,  293400.001,                                   0.791,                                  18.257,
08/23/2024 17:45:00,  294300.001,                                   0.791,                                  18.056,
08/23/2024 18:00:00,  295200.001,                                   0.791,                                  17.955,
08/23/2024 18:15:00,  296100.001,                                   0.791,                                  17.955,
08/23/2024 18:30:00,  297000.001,                                   0.791,                                  17.854,
08/23/2024 18:45:00,  297900.001,                                   0.791,                                  17.602,
08/23/2024 19:00:00,  298800.001,                                   0.791,                                  17.147,
08/23/2024 19:15:00,  299700.001,                                   0.791,                                  17.096,
08/23/2024 19:30:00,  300600.001,                                   0.791,                                  16.691,
08/23/2024 19:45:00,  301500.001,                                   0.791,                                  16.132,
08/23/2024 20:00:00,  302400.001,                                   0.791,                                  15.521,
08/23/2024 20:15:00,  303300.001,                                   0.790,                                  14.908,
08/23/2024 20:30:00,  304200.001,                                   0.791,                                  14.192,
08/23/2024 20:45:00,  305100.001,                                   0.791,                                  13.575,
08/23/2024 21:00:00,  306000.001,                                   0.790,                                  13.009,
08/23/2024 21:15:00,  306900.001,                                   0.791,                                  12.492,
08/23/2024 21:30:00,  307800.001,                                   0.790,                                  12.078,
08/23/2024 21:45:00,  308700.001,                                   0.791,                                  11.716,
08/23/2024 22:00:00,  309600.001,                                   0.790,                                  11.404,
08/23/2024 22:15:00,  310500.001,                                   0.790,                                  11.092,
08/23/2024 22:30:00,  311400.001,                                   0.790,                                  10.832,
08/23/2024 22:45:00,  312300.001,                                   0.791,                                  10.624,
08/23/2024 23:00:00,  313200.001,                                   0.791,                                  10.363,
08/23/2024 23:15:00,  314100.001,                                   0.791,                                  10.154,
08/23/2024 23:30:00,  315000.001,                                   0.791,                                   9.945,
08/23/2024 23:45:00,  315900.001,                                   0.791,                                   9.683,
08/24/2024 00:00:00,  316800.001,                                   0.791,                                   9.369,
08/24/2024 00:15:00,  317700.001,                                   0.791,                                   9.054,
08/24/2024 00:30:00,  318600.001,                                   0.791,                                   8.791,
08/24/2024 00:45:00,  319500.001,                                   0.791,                                   8.634,
08/24/2024 01:00:00,  320400.001,                                   0.791,                                   8.528,
08/24/2024 01:15:00,  321300.001,                                   0.791,                                   8.370,
08/24/2024 01:30:00,  322200.001,                                   0.791,                                   8.212,
08/24/2024 01:45:00,  323100.001,                                   0.790,                                   8.001,
08/24/2024 02:00:00,  324000.001,                                   0.791,                                   7.896,
08/24/2024 02:15:00,  324900.001,                                   0.791,                                   7.737,
08/24/2024 02:30:00,  325800.001,                                   0.791,                                   7.632,
08/24/2024 02:45:00,  326700.001,                                   0.791,                                   7.420,
08/24/2024 03:00:00,  327600.001,                                   0.791,                                   7.261,
08/24/2024 03:15:00,  328500.001,                                   0.791,                                   7.208,
